Waldgesellschaft,Höhenstufe,Grünerle,Latsche,Zirbe,Lärche,Vogelbeere,Fichte,Tanne,Buche,Bergahorn,Bergulme,Esche,Winterlinde,Hainbuche,Stieleiche,Traubeneiche,Feldahorn,Kirsche,Sommerlinde,Spitzahorn,Zerreiche,Elsbeere,Esskasanie,Flaumeiche,Hopfenbuche,Schmuckesche,Schwarzerle,Feldulme,Grauerle,Schwarzpappel,Silberweide,Flatterulme,Hängebirke,Aspe,Mehlbere,Weisskiefer,Schwarzkiefer
Bergkiefernwald,4,1,6,1,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lärchen--Zirbenwald,4,1,0,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lärchenwald,4,2,2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subalpiner Fichtenwald,4,0,0,1,2,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montaner Fichtenwald,3,0,0,0,3,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Fichten--Tannenwald,3,0,0,0,2,1,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fi--Ta--Buchenwald,3,0,0,0,1,1,4,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Montaner Buchenwald,3,0,0,0,1,0,3,2,6,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Submontaner Buchenwald,2,0,0,0,1,0,3,1,5,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Bergahornwald,2,0,0,0,0,1,2,1,3,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergahorn--Eschenwald,2,0,0,0,0,1,1,0,1,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,1,1,0
Lindenmischwald,2,0,0,0,0,1,1,1,1,3,4,3,5,0,1,1,2,2,3,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
Traubeneichen--Hainbuchenw.,1,0,0,0,0,0,1,1,3,1,1,2,1,4,2,5,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Stieleichen--Hainbuchenwald,1,0,0,0,0,0,0,0,1,2,1,2,1,4,5,2,3,1,1,1,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
Randalpiner Eichen--Birkenw.,1,0,0,0,0,2,1,0,1,0,0,2,1,0,2,3,0,2,0,0,0,0,6,2,2,2,0,0,0,0,0,0,3,2,3,0,0
Buchen--Eichenwald,1,0,0,0,0,1,1,1,2,1,0,0,1,2,0,6,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0
Zerreichen--Mischwald,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,5,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Flaumeichenwald,1,0,0,0,0,0,0,0,1,0,0,2,1,2,2,3,3,2,1,0,0,1,1,5,0,0,0,1,0,0,0,0,0,1,2,1,0
Schmuckeschen--Hopfenbu--W.,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,1,0,1,1,0,2,5,6,2,0,0,0,0,0,0,0,2,0,0
Waldkiefernwald,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,1,6,0
Schwarzkiefernwald,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,2,2,6
Schwarzerlenwald,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,1,0,0,0,0
Silberweidenau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0
Grauerlenau,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,1,0,0,0,0,0
Ulmen--Eschenwald,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,0,0,2,0,0,0,0,0,0,0,0,1,3,2,2,1,1,2,0,0,0,0
Ulmen--Eichenwald,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0
